objectid,filename,document type,title,claim name,claim number,claim type,creator,date,description,subject,location,county,district,township,range,section,latitude,longitude,source,identifier,type,format,language,associated name,,
ajack001,A_Jack.jpg,Folder Contents,A Jack Folder Contents,A Jack,9965,Lode,,,Folder Contents,Contents; A Jack Mine,Beaverhead,Beaverhead,Elkhorn,4S,12W,23,45.4724,-113.0486,,,Image;StillImage,image/jpeg,eng,"New Year, Ruby, W.R.A.",,
alexander001,Alexander.jpg,Folder Contents,Alexander Folder Contents,Alexander,5360,Placer,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Unorganized,2S,13W,,45.5597,-113.1926,,,Image;StillImage,image/jpeg,eng,,,
alice001,Alice.jpg,Folder Contents,Alice Folder Contents,Alice,,Placer,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Bald Mountain,6S,12W,24,45.2985,-113.0176,,,Image;StillImage,image/jpeg,eng,Faithful,,
alumont001,Alumont_Mining_Company.jpg,Folder Contents,Alumont Mining Company Folder Contents,Alumont Mining Company,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,,6S,12W,23,45.2985,-113.0381,,,Image;StillImage,image/jpeg,eng,"Includes Gulch, Henry, And Stenson",,
anaconda001,Anaconda.jpg,Folder Contents,Anaconda Folder Contents,Anaconda,,Placer,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Argenta,6S,11W,35,45.2894,-112.865,,,Image;StillImage,image/jpeg,eng,Ermont Group,,
anita001,Anita.jpg,Folder Contents,Anita Folder Contents,Anita,,Placer,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Argenta,6S,10W,22,45.2985,-112.8133,,,Image;StillImage,image/jpeg,eng,,,
arcadia001,Arcadia_Placer.jpg,Folder Contents,Arcadia Placer Folder Contents,Arcadia Placer,,Placer,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Ruby Creek,3S,18W,23,45.5583,-113.7902,,,Image;StillImage,image/jpeg,eng,,,
aragenta001,Argenta.jpg,Folder Contents,Argenta Folder Contents,Argenta,,Placer,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Argenta,6S,11W,13,45.30972,-112.88806,,,Image;StillImage,image/jpeg,eng,"Gladstone, Copper Bell",,
argerila001,Argerila_Placer.jpg,Folder Contents,Argerila Folder Contents,Argerila,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Argenta,,,,,,,,Image;StillImage,image/jpeg,eng,,,
argyle001,Argyle.jpg,Folder Contents,Argyle Folder Contents,Argyle,,Lode,,,Folder Contents,Contents; Alice Mine,Beaverhead,Beaverhead,Vipond,1S,11W,5,45.7199,-112.9047,,,Image;StillImage,image/jpeg,eng,Lone Pine,,
