objectid,filename,title,claim,claim number,claim type,creator,date,description,subject,location,county,district,latitude,longitude,township,range,section,source,identifier,type,format,language,associated names,rightsstatement,,,,
amholter001,A M Holter.jpg,A.M. Holter Folder Contents,A.M. Holter,1374,Lode,,,Folder Content Sheets,Contents; A.M. Holter,A.M. Holter,Jefferson,Elkhorn,46.27755,-111.9434,06N,03W,14,,,Image;StillImage,image/jpeg,eng,A.M. Holter,,,,,
ada001,Ada1.jpg,Ada Folder Contents,Ada,6020,Lode,,,Folder Content Sheets,Contents; Ada,Ada,Jefferson,Basin,46.3633,-112.2536,07N,05W,17,,,Image;StillImage,image/jpeg,eng,,,,,,
adalode001,Adalode.jpg,Ada Lode Folder Contents,Ada Lode,6855,Lode,,,Folder Content Sheets,Contents; Ada Lode,Ada Lode,Jefferson,Elk Park,46.02,-112.43389,03N,07W,11,,,Image;StillImage,image/jpeg,eng,"Near Divide, Lucky Tom Claims",,,,,
adelaide001,Adelaide.jpg,Adelaide Folder Contents,Adelaide,4404,Lode,,,Folder Content Sheets,Contents; Adelaide,Adelaide,Jefferson,Amazon,46.2858,-112.2731,06N,05W,7,,,Image;StillImage,image/jpeg,eng,Adjoins Adelaide Ext.,,,,,
adolphus001,Adolphus.jpg,Adolphus Folder Contents,Adolphus,495,Lode,,,Folder Content Sheets,Contents; Adolphus,Adolphus,Jefferson,Amazon,46.29134,-112.15755,06N,04W,7,,,Image;StillImage,image/jpeg,eng,Adolphus,,,,,
ajax001,Ajax1.jpg,Ajax Folder Contents,Ajax,6910,Lode,,,Folder Content Sheets,Contents; Ajax,Ajax,Jefferson,Boulder Mtns,46.1028,-112.1917,04N,05W,14,,,Image;StillImage,image/jpeg,eng,"Group Includes Bertie, Jason Claims, Near Morning Glory Placer, Glowing Star Placer, Minnetonka Claims",,,,,
ajax001,Ajax2.jpg,Ajax Folder Contents,Ajax,4130,Lode,,,Folder Content Sheets,Contents; Ajax,Ajax,Jefferson,Elk Park,46.01116,-112.4362,03N,07W,14,,,Image;StillImage,image/jpeg,eng,"Group Includes Bertie, Jason Claims, Near Morning Glory Placer, Glowing Star Placer, Minnetonka Claims",,,,,
ajax001,Ajax3.jpg,Ajax Folder Contents,Ajax,3156,Lode,,,Folder Content Sheets,Contents; Ajax,Ajax,Jefferson,Little Pipestone,45.849,-112.31985,01N,06W,11,,,Image;StillImage,image/jpeg,eng,Near Silver Bow County Lne,,,,,
ajax lode001,Ajaxlode.jpg,Ajax Lode Folder Contents,Ajax Lode,,Lode,,,Folder Content Sheets,Contents; Ajax Lode,Ajax Lode,Jefferson,Alhambra,46.42045,-111.88063,08N,02W,29,,,Image;StillImage,image/jpeg,eng,Adjoining Mockingbird And Portland,,,,,
aldolphus001,Aldolphus.jpg,Aldolphus Folder Contents,Aldolphus,,Lode,,,Folder Content Sheets,Contents; Aldolphus,Aldolphus,Jefferson,Boulder,46.2873,-112.1495,06N,04W,7,,,Image;StillImage,image/jpeg,eng,"A/K/A Molly Mc Gregor, Emma Bell; From Boulder, 4 Mi. N On Boomerang Creek Road",,,,,
alhambra001,Alhambra.jpg,Alhambra Folder Contents,Alhambra,,Lode,,,Folder Content Sheets,Contents; Alhambra,Alhambra,Jefferson,Alhambra,46.44925,-111.85952,08N,02W,16,,,Image;StillImage,image/jpeg,eng,Alhambra,,,,,
alice001,Alice.jpg,Alice Folder Contents,Alice,,Lode,,,Folder Content Sheets,Contents; Alice,Alice,Jefferson,Colorado,46.3589,-112.1119,07N,04W,16,,,Image;StillImage,image/jpeg,eng,Alice,,,,,
allport001,Allport.jpg,Allport Folder Contents,Allport,,Lode,,,Folder Content Sheets,Contents; Allport,Allport,Jefferson,Boulder,46.2289,-112.2803,06N,05W,31,,,Image;StillImage,image/jpeg,eng,"A/K/A Allprot, Alport",,,,,
alpha-omega-blue001,Alphaomegablue.jpg,Alpha-Omega-Blue Folder Contents,Alpha-Omega-Blue,,Lode,,,Folder Content Sheets,Contents; Alpha-Omega-Blue,Alpha-Omega-Blue,Jefferson,Colorado,46.4026,-112.1703,08N,05W,36,,,Image;StillImage,image/jpeg,eng,,,,,,
alpine001,Alpine.jpg,Alpine Folder Contents,Alpine,1622,Lode,,,Folder Content Sheets,Contents; Alpine,Alpine,Jefferson,High Ore,46.29377,-112.17825,06N,05W,12,,,Image;StillImage,image/jpeg,eng,,,,,,
alta001,Alta.jpg,Alta Folder Contents,Alta,6512,Lode,,,Folder Content Sheets,Contents; Alta,Alta,Jefferson,Colorado,46.372222,-112.093889,07N,04W,3,,,Image;StillImage,image/jpeg,eng,"10 Claims In Group; Includes Silver King, North Alta Lodes",,,,,
alturist001,Alturist.jpg,Alturist Folder Contents,Alturist,,Lode,,,Folder Content Sheets,Contents; Alturist,Alturist,Jefferson,Pipestone,46.00944,-112.34611,03N,06W,14,,,Image;StillImage,image/jpeg,eng,Includes Hackinsac,,,,,
amazon001,Amazon.jpg,Amazon Folder Contents,Amazon,1338,Lode,,,Folder Content Sheets,Contents; Amazon,Amazon,Jefferson,Amazon,46.2855,-112.11028,06N,04W,9,,,Image;StillImage,image/jpeg,eng,North Of Boulder,,,,,
ann kinzer mine001,Ann Kinzer.jpg,Ann Kinzer Mine Folder Contents,Ann Kinzer Mine,,Lode,,,Folder Content Sheets,Contents; Ann Kinzer Mine,Ann Kinzer Mine,Jefferson,Elkhorn,46.30252,-111.8184,06N,02W,2,,,Image;StillImage,image/jpeg,eng,Ann Kinzer Mine,,,,,
anna001,Anna.jpg,Anna Folder Contents,Anna,8940,Lode,,,Folder Content Sheets,Contents; Anna,Anna,Jefferson,Colorado,46.37265,-112.14299,07N,04W,8,,,Image;StillImage,image/jpeg,eng,"Adjoins Jason, Mum, Mount Diablo",,,,,
