title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Geology of Beaverhead County and Ajax Mine","Johon M. Conrow","12/9/1941","Geology of Beaverhead County and Ajax Mine","Correspondence; Ajax Mine; ","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/correspondence_ajax_mine_conrow_john_thomson_francis_12_9_1941_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Correspondence_Ajax_Mine_Conrow_John_Thomson_Francis_12_9_1941.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax001.html"
"Mountain Range and Location Information","Ralph H. King","10/10/1969","Mountain rainge and location information","Correspondence; Ajax Mine; ","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/correspondence_ajax_mine_king_ralph_vandelinder_george_10_10_1969_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Correspondence_Ajax_Mine_King_Ralph_Vandelinder_George_10_10_1969.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax002.html"
"Road Construction Near Ajax","H.G. McClernan","9/15/1969","Road construction near Ajax","Correspondence; Ajax Mine; ","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/correspondence_ajax_mine_mcclernan_h_g_jenkins_clay_09_15_1969_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Correspondence_Ajax_Mine_Mcclernan_H_G_Jenkins_Clay_09_15_1969.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax003.html"
"Geology of Beaverhead County and Ajax Mine","J.H. Jensen","1/20/1936","Geology of Beaverhead County and Ajax Mine","Correspondence; Ajax Mine; ","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/correspondence_ajax_mine_thomson_francis_sahinen_u_m_01_20_1936_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Correspondence_Ajax_Mine_Thomson_Francis_Sahinen_U_M_01_20_1936.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax004.html"
"Ajax Mine Information for Library","Mrs. George VanDelinder","10/8/1969","Ajax mine information for library","Correspondence; Ajax Mine; ","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/correspondence_ajax_mine_vandelinder_george_montana_college_technology_mineral_10_08_1969_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Correspondence_Ajax_Mine_Vandelinder_George_Montana_College_Technology_Mineral_10_08_1969.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax005.html"
"Ajax Status Cards","Clay Jenkins","1972","Ajax Status cards","Forms; Ajax Mine; Cards","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/forms_ajax_mine_mbmg_mine_status_card_1969_1970_1971_1972_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Forms_Ajax_Mine_MBMG_Mine_Status_Card_1969_1970_1971_1972.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax006.html"
"Ajax Status Cards","Clay Jenkins","1976","Ajax Status cards","Forms; Ajax Mine; Cards","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/forms_ajax_mine_mbmg_mine_status_card_1973_1974_1975_1976_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Forms_Ajax_Mine_MBMG_Mine_Status_Card_1973_1974_1975_1976.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax007.html"
"Ajax Status Cards","Clay Jenkins","1979","Ajax Status cards","Forms; Ajax Mine; Cards","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/forms_ajax_mine_mbmg_mine_status_card_1977_1978_1979_1980_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Forms_Ajax_Mine_MBMG_Mine_Status_Card_1977_1978_1979_1980.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax008.html"
"Ajax Status Cards","Clay Jenkins","1984","Ajax Status cards","Forms; Ajax Mine; Cards","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/forms_ajax_mine_mbmg_mine_status_card_1981_1982_1983_1984_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Forms_Ajax_Mine_MBMG_Mine_Status_Card_1981_1982_1983_1984.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax009.html"
"Ajax Status Cards","Clay Jenkins","1986","Ajax Status cards","Forms; Ajax Mine; Cards","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/forms_ajax_mine_mbmg_mine_status_card_1985_1986_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Forms_Ajax_Mine_MBMG_Mine_Status_Card_1985_1986.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax010.html"
"Topographic Map Including Ajax Mine","","","Topographic map including Ajax Mine","Maps; Ajax Mine; Topographic Map;","Beaverhead","45.52333","-113.72389","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/maps_ajax_mine_topographic_no_date_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Maps_Ajax_Mine_Topographic_No_Date.jpg","/Information/Collections/Mine-Files/Beaverhead/items/ajax011.html"
"Family Revives Old Ajax Mine","","8/9/1981","Family Revives Old Ajax Mine","Newsclippings; Ajax Mine;","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/newsclippings_ajax_mine_montana_standard_08_09_1981_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Newsclippings_Ajax_Mine_Montana_Standard_08_09_1981.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax012.html"
"Beaverhead Forest Hydrologist Jeff Reiner","","8/9/1981","Beaverhead forest hydrologist Jeff Reiner","Newsclippings; Ajax Mine;","Beaverhead","45.52333","-113.72389","","","Image;StillImage","application/pdf","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/newsclippings_ajax_mine_montana_standard_08_09_1981_b_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Newsclippings_Ajax_Mine_Montana_Standard_08_09_1981_B.pdf","/Information/Collections/Mine-Files/Beaverhead/items/ajax013.html"
